The SAS System,,,,,,,,,,,
,,,,,,,,,,,
release_id,estimize_actual,anndats,ibes_actvalue,IBES_adj_actual,ticker,etick,y,ibes_right,estimize_right,formatted_date,
65816,1.24,4/30/2012,1.22,1.22,CYOU,CYOU,0.02,0,0,4/30/2012,
25814,-12.8,3/11/2014,-12.83,-12.83,CZR,CZR,0.03,0,0,3/11/2014,
25828,-3.06,8/11/2014,-3.24,-3.24,CZR,CZR,0.18,0,0,8/11/2014,
117985,0.74,1/31/2014,0.8,0.8,D,D,0.06,0,0,1/31/2014,
9081,0.18,2/26/2014,0.03,0.03,DAR,DAR,0.15,0,0,2/26/2014,
25596,0.03,2/15/2012,0.05,0.05,DENN,DENN,0.02,0,0,2/15/2012,
32812,0.69,9/5/2012,0.65,0.65,DG,DG,0.04,0,0,9/5/2012,
75200,-0.96,5/7/2013,-0.37,-0.37,DGI,DGI,0.59,0,0,5/7/2013,
116467,-0.03,1/22/2015,-0.01,-0.01,DGII,DGII,0.02,0,0,1/22/2015,
79546,0.84,7/19/2012,0.81,0.81,DHR,DHR,0.03,0,0,7/19/2012,
17609,0.5,8/8/2012,0.59,0.59,DISH,DISH,0.09,0,0,8/8/2012,
42243,-0.08,2/26/2014,-0.01,-0.01,DK,DK,0.07,0,0,2/26/2014,
30450,0.88,3/6/2012,0.76,0.76,DKS,DKS,0.12,0,0,3/6/2012,
98860,0.6,4/21/2015,0.56,0.56,DLB,DLB,0.04,0,0,4/21/2015,
98795,0.52,7/24/2014,0.38,0.38,DLB,DLB,0.14,0,0,7/24/2014,
15225,0.6,4/28/2015,0.65,0.65,DORM,DORM,0.05,0,0,4/28/2015,
86518,1.3,10/17/2012,1.32,1.32,DOV,DOV,0.02,0,0,10/17/2012,
51246,0.18,10/12/2012,0.14,0.14,DRH,DRH,0.04,0,0,10/12/2012,
51426,0.26,8/8/2014,0.13,0.13,DRH,DRH,0.13,0,0,8/8/2014,
51484,0.19,5/8/2015,0.06,0.06,DRH,DRH,0.13,0,0,5/8/2015,
51609,0.26,11/4/2014,0.11,0.11,DRH,DRH,0.15,0,0,11/4/2014,
51261,0.14,5/10/2013,-0.02,-0.02,DRH,DRH,0.16,0,0,5/10/2013,
87218,-0.04,5/22/2013,0,0,DSX,DSX,0.04,0,0,5/22/2013,
118222,-1.13,3/14/2013,-0.88,-0.88,DYN,DYN,0.25,0,0,3/14/2013,
118451,-0.93,5/6/2015,-1.49,-1.49,DYN,DYN,0.56,0,0,5/6/2015,
18462,0.3,4/28/2014,0.27,0.27,EDU,EDU,0.03,0,0,4/28/2014,
18518,0.3,7/22/2014,0.27,0.27,EDU,EDU,0.03,0,0,7/22/2014,
18362,0.06,1/29/2013,-0.1,-0.1,EDU,EDU,0.16,0,0,1/29/2013,
75333,0.4,5/11/2015,-0.36,-0.36,EGL,EGL,0.76,0,0,5/11/2015,
49622,-0.01,2/20/2014,-0.11,-0.11,EHTH,EHTH,0.1,0,0,2/20/2014,
49735,-0.12,4/24/2015,0.13,0.13,EHTH,EHTH,0.25,0,0,4/24/2015,
101642,-0.06,11/4/2014,0.16,0.16,EIGI,EIGI,0.22,0,0,11/4/2014,
10711,0.8,11/4/2014,0.59,0.59,EL,EL,0.21,0,0,11/4/2014,
121641,0.43,2/19/2015,0.49,0.49,ENB,ENB,0.06,0,0,2/19/2015,
121586,0.47,5/7/2014,0.6,0.6,ENB,ENB,0.13,0,0,5/7/2014,
100929,0.88,2/13/2013,0.97,0.97,EQIX,EQIX,0.09,0,0,2/13/2013,
100957,0.09,7/24/2013,0.5,0.5,EQIX,EQIX,0.41,0,0,7/24/2013,
101070,0.22,7/30/2014,0.87,0.87,EQIX,EQIX,0.65,0,0,7/30/2014,
75206,0.29,10/31/2013,0.19,0.19,ERJ,ERJ,0.1,0,0,10/31/2013,
75327,-0.33,4/30/2015,0.263,0.263,ERJ,ERJ,0.59,0,0,4/30/2015,
121542,0.6,5/8/2013,0.63,0.63,ETP,ETP,0.03,0,0,5/8/2013,
121651,0.44,11/5/2014,0.41,0.41,ETP,ETP,0.03,0,0,11/5/2014,
121535,0.56,2/20/2013,0.62,0.62,ETP,ETP,0.06,0,0,2/20/2013,
121558,0.76,5/6/2014,0.6,0.6,ETP,ETP,0.16,0,0,5/6/2014,
121592,0.92,8/6/2014,0.67,0.67,ETP,ETP,0.25,0,0,8/6/2014,
